parres,cb45,OUT,148.201.140.103,148.201.129.43,TCP,51107,445,1467245319886,\Device\NPF_{2C8F3112-B7D1-4BBF-B5F8-4D19854B7E9E},48:0F:CF:27:76:D5,55,,,,,,
parres,cb45,IN,148.201.140.103,148.201.129.43,TCP,51107,445,1467245319886,\Device\NPF_{2C8F3112-B7D1-4BBF-B5F8-4D19854B7E9E},48:0F:CF:27:76:D5,66,,,,,,
parres,5650,IN,148.201.140.103,148.201.2.72,TCP,55763,443,1467245319954,\Device\NPF_{2C8F3112-B7D1-4BBF-B5F8-4D19854B7E9E},48:0F:CF:27:76:D5,1414,,,,,,
parres,5650,IN,148.201.140.103,148.201.2.72,TCP,55763,443,1467245319955,\Device\NPF_{2C8F3112-B7D1-4BBF-B5F8-4D19854B7E9E},48:0F:CF:27:76:D5,683,,,,,,
parres,5650,OUT,148.201.140.103,148.201.2.72,TCP,55763,443,1467245319955,\Device\NPF_{2C8F3112-B7D1-4BBF-B5F8-4D19854B7E9E},48:0F:CF:27:76:D5,54,,,,,,
parres,5505,OUT,148.201.140.103,148.201.1.28,TCP,55762,443,1467245319962,\Device\NPF_{2C8F3112-B7D1-4BBF-B5F8-4D19854B7E9E},48:0F:CF:27:76:D5,875,,,,,,
parres,5505,IN,148.201.140.103,148.201.1.28,TCP,55762,443,1467245319964,\Device\NPF_{2C8F3112-B7D1-4BBF-B5F8-4D19854B7E9E},48:0F:CF:27:76:D5,60,,,,,,
parres,4cf3971a,OUT,148.201.140.103,216.58.194.46,TCP,55551,443,1467245320007,\Device\NPF_{2C8F3112-B7D1-4BBF-B5F8-4D19854B7E9E},48:0F:CF:27:76:D5,55,,,,,,
parres,4cf3971a,IN,148.201.140.103,216.58.194.46,TCP,55551,443,1467245320053,\Device\NPF_{2C8F3112-B7D1-4BBF-B5F8-4D19854B7E9E},48:0F:CF:27:76:D5,66,,,,,,
parres,cb45,IN,148.201.140.103,148.201.129.43,TCP,51107,445,1467245320400,\Device\NPF_{2C8F3112-B7D1-4BBF-B5F8-4D19854B7E9E},48:0F:CF:27:76:D5,60,,,,,,
parres,cb45,OUT,148.201.140.103,148.201.129.43,TCP,51107,445,1467245320400,\Device\NPF_{2C8F3112-B7D1-4BBF-B5F8-4D19854B7E9E},48:0F:CF:27:76:D5,66,,,,,,
